_id,pin,number,total_amount
6860638,0002H00299000000,1,156.09
6860639,0002H00303000000,36,2571
6860640,0002H00312000000,25,1396.89
6860641,0002H00316000000,20,2134.4
6860642,0002H00317000000,1,184.47
6860643,0002H00324000A00,31,679.76
6860644,0002H00325000000,29,648.4
6860645,0002H00339000000,1,5.2
6860646,0002J00104000000,1,5742.79
6860647,0002J00250000900,1,9.46
6860648,0002J00261000000,2,231.77
6860649,0002L00021000000,1,162.85
6860650,0002L00108000000,1,815.06
6860651,0002L00121000000,1,9.38
6860652,0002L00235000000,1,191.23
6860653,0002M00218000000,10,3278.93
6860654,0002M00335000000,1,98.74
6860655,0002P00110000000,2,36385.8
6860656,0002R00275000000,7,4652.3
6860657,0002R0028000A100,11,49831.62
6860658,0002R002800A0100,1,5388.29
6860659,0002R00320000100,1,90354
6860660,0003C00030000001,22,5028.05
6860661,0003C00180000000,1,1950.16
6860662,0003C00185000000,1,1827.8
6860663,0003D00050000000,35,5166.12
6860664,0003D00100000000,40,28683.99
6860665,0003E00014000000,8,12679.83
6860666,0003E00032000000,14,140.58
6860667,0003E00067000000,3,3270.28
6860668,0003F00017000000,1,332.91
6860669,0003F00052000000,4,4015.16
6860670,0003F00053000A00,1,85.72
6860671,0003F00068000000,1,890.19
6860672,0003F00150000000,1,3012.55
6860673,0003G00086000000,1,54.51
6860674,0003G00114000000,3,1631.52
6860675,0003G00129000000,3,3913.55
6860676,0003G00134000000,1,898.7
6860677,0003G00154000000,9,217.71
6860678,0003G00194000000,4,2442
6860679,0003G00210000000,1,638.55
6860680,0003G00265000000,2,4953.26
6860681,0003H00021000000,1,1611.98
6860682,0003H00033000000,1,1253.45
6860683,0003H00041000100,2,6965.85
6860684,0003H00111000000,1,984.82
6860685,0003H00112000000,2,357.16
6860686,0003H00149000000,3,387.7
6860687,0003H00163000000,6,9542.86
6860688,0003H00176000000,2,1428.46
6860689,0003H00190000000,1,520.3
6860690,0003H00239000000,1,19.87
6860691,0003H00243000000,8,5163.75
6860692,0003H00261000000,3,6880.02
6860693,0003H00269000000,1,443.91
6860694,0003H00272000000,1,2233.61
6860695,0003H00292000000,2,565.7
6860696,0003H00293000000,2,859.92
6860697,0003H00308000200,1,5.65
6860698,0003H00333000000,5,1923.7
6860699,0003H00357000A00,38,44.88
6860700,0003H00361000000,38,78.43
6860701,0003I08G82000000,1,734.95
6860702,0003J00012000000,3,66.27
6860703,0003J00017000000,29,493.3
6860704,0003J00048000000,7,146.82
6860705,0003J00052000000,6,85.26
6860706,0003J00063000000,3,1089.63
6860707,0003J00082000000,39,9925.66
6860708,0003J00106000000,1,849.98
6860709,0003J00135000000,36,1756.29
6860710,0003K00009000000,3,27.96
6860711,0003K00035000000,2,747.34
6860712,0003K00036000000,2,86.08
6860713,0003K00040000000,15,2791.57
6860714,0003K00044000000,2,1041.54
6860715,0003K00046000000,2,1042.5
6860716,0003K00048000000,2,14.2
6860717,0003K00049000000,2,1677.26
6860718,0003K00050000000,2,426.64
6860719,0003K00052000000,2,17.98
6860720,0003K00054000000,2,17.02
6860721,0003K00057000000,8,4159.11
6860722,0003K00078000000,2,146.52
6860723,0003K00100000000,28,938.75
6860724,0003K00109000000,28,3091.06
6860725,0003K00110000000,14,5203.26
6860726,0003K00139000A00,16,114.69
6860727,0003K00140000000,7,35
6860728,0003K00142000000,19,4355.77
6860729,0003K00170000000,3,301.55
6860730,0003K00180000000,3,3332.28
6860731,0003K00184000000,3,294.2
6860732,0003L00005000000,29,1481.82
6860733,0003L00007000000,24,9659.44
6860734,0003L00008000000,32,15087.89
6860735,0003L00009000000,1,141.9
6860736,0003L00010000000,2,35
6860737,0003L00033000000,2,1222.22
6860738,0003L00034000000,4,949.39
6860739,0003L00034000A00,5,876.8
6860740,0003L00122000000,2,2079.3
6860741,0003L00147000000,1,473
6860742,0003L00150000000,1,932.76
6860743,0003L00189000000,9,11939.42
6860744,0003L00200000000,1,620.1
6860745,0003L00203000000,1,617.76
6860746,0003L00217000000,15,611.1
6860747,0003L00228000000,2,6.62
6860748,0003L00229000000,1,734.57
6860749,0003L00239000000,20,64.53
6860750,0003L00242000000,8,10813.07
6860751,0003L00300000000,6,199.12
6860752,0003M00051000000,4,1089.15
6860753,0003M00118000000,2,630.15
6860754,0003M00119030100,1,11.3
6860755,0003M00119030300,2,2435
6860756,0003M00133000000,1,14.29
6860757,0003M00136001300,1,57.23
6860758,0003M00180000000,1,416.54
6860759,0003M00189000000,1,115.89
6860760,0003M00203000000,1,1942.67
6860761,0003M00247000A00,2,142.52
6860762,0003M00265000000,19,18561.49
6860763,0003M00300000000,2,144.9
6860764,0003M00323000000,1,185.48
6860765,0003M00343000000,1,808.09
6860766,0003M00355000000,1,2314.73
6860767,0003M00371000000,1,392.86
6860768,0003M00401000000,2,4641.11
6860769,0003N00002000000,3,1162.56
6860770,0003N00003000000,5,83.1
6860771,0003N00043000000,3,309.33
6860772,0003N00045000000,14,6063.37
6860773,0003N00047000A00,1,170.73
6860774,0003N00072000000,4,402.74
6860775,0003N00073000101,5,560.88
6860776,0003N00073010100,3,1024.45
6860777,0003N00080000000,2,543.96
6860778,0003N00108000000,2,458.81
6860779,0003N00118000000,1,49.19
6860780,0003N00133000000,2,393.54
6860781,0003N00139000000,1,60.03
6860782,0003N00154000000,40,12906.4
6860783,0003N00159000000,1,257.19
6860784,0003N00164000000,30,9445.75
6860785,0003N00171000000,7,186.58
6860786,0003N00178000000,1,281.03
6860787,0003N00186000000,24,13340.09
6860788,0003N00187000000,2,135.57
6860789,0003N00189000000,11,1637.97
6860790,0003N00190000000,6,564.84
6860791,0003N00196000000,1,33.11
6860792,0003N00197000000,17,757.4
6860793,0003N00214000000,3,915.67
6860794,0003N00229000000,1,80.39
6860795,0003P00102000000,2,48.24
6860796,0003P00109000000,2,62.44
6860797,0003P00110000000,2,586.52
6860798,0003P00118000000,2,189.2
6860799,0003P00134000000,1,193.93
6860800,0003P00191000000,2,88.92
6860801,0003P00196000000,14,4161.17
6860802,0003P00200000000,2,269.61
6860803,0003P00202000000,2,89.88
6860804,0003P00213000000,5,5388.95
6860805,0003P00214000000,1,251.8
6860806,0003P00216000000,1,2.36
6860807,0003P00235000A00,1,16.56
6860808,0003P00267000000,2,909.76
6860809,0003P00270000000,4,3656.09
6860810,0003P00273000000,19,5412.14
6860811,0003P00276000000,3,761.91
6860812,0003R00009000000,3,3001.27
6860813,0003R00020000000,3,2659.14
6860814,0003R00024000000,2,700.98
6860815,0003R00025000000,1,182.1
6860816,0003R00044000000,24,322.72
6860817,0003R00047000000,10,1405.28
6860818,0003R00053000000,35,15908.14
6860819,0003R00056000000,1,71.42
6860820,0003R00058000000,2,257.96
6860821,0003R00060000000,2,575.36
6860822,0003R00061000000,2,575.36
6860823,0003R00069000000,2,12.3
6860824,0003R00098000000,8,69.2
6860825,0003R00105000000,1,70.95
6860826,0003R00139000000,2,35.94
6860827,0003R00140000000,2,158.92
6860828,0003R00141000100,9,1065.7
6860829,0003R00143000000,1,3.35
6860830,0003R00158000000,2,70
6860831,0003R00169000000,5,142
6860832,0003R00173000000,31,5911.85
6860833,0003R00177000000,3,372.83
6860834,0003R00192000000,2,35.66
6860835,0003R00218000000,8,97.69
6860836,0003R00230000000,2,245.02
6860837,0003R00293000000,36,3675.46
6860838,0003R00299000000,8,1621.55
6860839,0003R00301000000,1,4.73
6860840,0003R00307000000,1,92.24
6860841,0003R00321000000,16,5122.8
6860842,0003R00325000000,28,1243.07
6860843,0003R00327000000,3,83.7
6860844,0003R00328000000,24,3815.44
6860845,0003S00005000000,2,61.49
6860846,0003S00007000000,2,1172.1
6860847,0003S00013000000,1,105.84
6860848,0003S00015000000,2,1266.7
6860849,0003S00040000000,30,1074.56
6860850,0003S00041000000,4,300.15
6860851,0003S00059000000,1,28.38
6860852,0003S00060000000,1,28.38
6860853,0003S00062000000,2,517.46
6860854,0003S00064000000,2,31.22
6860855,0003S00065000000,2,4.73
6860856,0003S00066000000,1,272.92
6860857,0003S00069000000,4,1298.51
6860858,0003S00078000000,3,335.57
6860859,0003S00079000000,1,259.75
6860860,0003S00081000000,2,195.36
6860861,0003S00082000000,2,97.68
6860862,0003S00084000000,2,56.76
6860863,0003S00085000000,2,56.76
6860864,0003S00086000000,2,851.4
6860865,0003S00094000000,22,739.86
6860866,0003S00112000000,22,6849.87
6860867,0003S00127000000,8,546.49
6860868,0003S00128000000,2,56.76
6860869,0003S00131000000,2,4.73
6860870,0003S00137000000,2,25.54
6860871,0003S00187000000,1,7.56
6860872,0003S00187000A00,1,642.81
6860873,0003S00190000000,5,2412.37
6860874,0003S0021800C600,1,1335.28
6860875,0003S00254010400,1,741.19
6860876,0003S00286000000,2,1273.09
6860877,0003S00292000000,14,25.28
6860878,0004A00018000000,2,84.42
6860879,0004A00028000000,1,365.63
6860880,0004A00103000000,3,3071.09
6860881,0004A00104000000,6,1959.7
6860882,0004A00112000000,6,1591.34
6860883,0004A00126000000,2,1202.54
6860884,0004A00144000000,1,870.85
6860885,0004B00007000000,1,16.64
6860886,0004B00011000000,2,110.14
6860887,0004B00046000000,10,6670.8
6860888,0004B00092000000,4,338.14
6860889,0004B00101000000,7,1873.25
6860890,0004B00114000000,3,6219.55
6860891,0004B00116000000,7,2111.07
6860892,0004B00132000000,7,4983.99
6860893,0004B00145000000,6,8364.14
6860894,0004B00175000000,6,3552.91
6860895,0004B00182000000,2,1297.92
6860896,0004B00191000000,2,105.59
6860897,0004B00194000000,34,2349.14
6860898,0004B00203000000,2,736.94
6860899,0004B00237000000,1,2147.42
6860900,0004B00266000000,2,1170.2
6860901,0004B00267000000,12,4955.75
6860902,0004B00268000000,4,7217.3
6860903,0004B00283000000,6,334.94
6860904,0004C00007000000,1,59.33
6860905,0004C00007000300,2,1060.46
6860906,0004C00007001000,1,1225.39
6860907,0004C00115000000,2,19.76
6860908,0004D00030000000,11,4.84
6860909,0004E00007000000,1,158.59
6860910,0004E00063000000,2,132.44
6860911,0004E00064000000,2,132.44
6860912,0004E00065000000,2,133.38
6860913,0004E00066000000,11,286.69
6860914,0004E00067000000,2,135.28
6860915,0004E00068000000,2,137.17
6860916,0004E00086000000,5,1180.29
6860917,0004E00118000000,3,1998.68
6860918,0004E00125000000,3,435.09
6860919,0004E00133000000,1,254.67
6860920,0004E00142000000,2,300.08
6860921,0004E00146000000,2,182.99
6860922,0004E00163000000,1,35.48
6860923,0004E00190000000,10,883.97
6860924,0004E00191000000,7,2699.5
6860925,0004E00198000000,2,427.6
6860926,0004E00199000000,9,1785.37
6860927,0004E00200000000,2,9.46
6860928,0004E00206000000,1,85.61
6860929,0004E00214000000,1,166.02
6860930,0004F00017000000,1,642.83
6860931,0004F00040000000,3,3133.26
6860932,0004F00042000000,25,10523.08
6860933,0004F00043000000,5,2525.45
6860934,0004F00049000000,2,578
6860935,0004F00053000000,2,91.05
6860936,0004F00056000000,11,6480.77
6860937,0004F00074000000,1,20.34
6860938,0004F00079000000,2,125.82
6860939,0004F00086000000,1,132.3
6860940,0004F00094000000,14,6738.96
6860941,0004F00098000000,1,85.13
6860942,0004F00123000000,1,341.98
6860943,0004F00142000000,1,846.48
6860944,0004F00145000000,20,2095.34
6860945,0004F00151000000,1,11.68
6860946,0004F00194000000,1,168.37
6860947,0004F00209000000,1,180.69
6860948,0004F00210000000,1,271.5
6860949,0004F00216000000,2,440.31
6860950,0004F00222000000,1,3.78
6860951,0004F00225000000,3,6935.23
6860952,0004F00227000000,1,108.32
6860953,0004F00255000000,1,115.79
6860954,0004F00275000000,2,350.96
6860955,0004F00277000000,2,16.08
6860956,0004F00279000000,2,16.08
6860957,0004F00280000S00,10,1235.3
6860958,0004F00283000000,4,383.79
6860959,0004F00286000000,2,71.9
6860960,0004F00287000000,2,600.72
6860961,0004F00288000000,2,667.88
6860962,0004F00288000A00,4,193.36
6860963,0004F00289000000,3,4151.91
6860964,0004F00290000000,2,1090.13
6860965,0004F00294000000,2,558.14
6860966,0004F00300000000,2,314.08
6860967,0004G00006000000,1,678.75
6860968,0004G00032000000,2,940.32
6860969,0004G00034000000,1,256.07
6860970,0004G00069000000,2,1986.6
6860971,0004G00101000000,42,318.91
6860972,0004G00121000000,5,4184.4
6860973,0004G00123000000,7,15713.24
6860974,0004G00162000000,2,6.62
6860975,0004G00192000000,10,41.79
6860976,0004G00196000000,6,26.4
6860977,0004G00212000000,7,5450.72
6860978,0004G00213000000,1,2.93
6860979,0004G00218000000,2,472.55
6860980,0004G00245000000,30,2254.06
6860981,0004G00254000000,20,67.8
6860982,0004G00295000002,17,173.7
6860983,0004G00300000000,1,32.63
6860984,0004H00008000000,2,1967.68
6860985,0004H00010000000,2,45.4
6860986,0004H00014000000,2,728.42
6860987,0004H00022000000,27,13027.69
6860988,0004H00033000000,1,142.73
6860989,0004H00039000000,8,130.59
6860990,0004H00039000A00,4,91.17
6860991,0004H00040000000,5,51.58
6860992,0004H00041000000,16,105.1
6860993,0004H00043000000,1,4.38
6860994,0004H00043000A00,16,525.69
6860995,0004H00043000D00,1,20.15
6860996,0004H00050000000,8,37.84
6860997,0004H00051000000,25,169.01
6860998,0004H00055000000,23,197.5
6860999,0004H00099000000,11,16.01
6861000,0004H00103000000,1,31.9
6861001,0004H00150000000,14,18.22
6861002,0004H00217000000,31,4053.35
6861003,0004H00225000000,30,2246.05
6861004,0004H00226000000,15,136.64
6861005,0004H00227000000,7,23.7
6861006,0004H00228000000,8,90
6861007,0004H00229000000,1,461.65
6861008,0004H00230000000,1,468.27
6861009,0004H00231000000,24,88.42
6861010,0004J00004000000,22,150.38
6861011,0004J00035000000,7,85.31
6861012,0004J00040000000,3,357.48
6861013,0004J00041000000,2,186.74
6861014,0004J00054000000,6,17.38
6861015,0004J00056000000,5,244.2
6861016,0004J00059000000,8,231.08
6861017,0004J00060000000,6,12.16
6861018,0004J00063000000,5,170.95
6861019,0004J00066000000,16,346.92
6861020,0004J00072000000,3,351.27
6861021,0004J00093000000,8,2850.03
6861022,0004J00094000000,6,405.55
6861023,0004J00101000000,5,2605.76
6861024,0004J00109000000,2,1052.9
6861025,0004J00112000000,15,53.57
6861026,0004J00119000000,2,414.34
6861027,0004J00124000000,9,3449.41
6861028,0004J00129000000,2,333.08
6861029,0004J00141000000,2,188.64
6861030,0004J00142000000,1,172.17
6861031,0004J00155000000,2,1146.77
6861032,0004J00167000000,2,71.99
6861033,0004J00169000000,19,780.64
6861034,0004J00184000000,6,6283.13
6861035,0004J00185000000,4,3020.19
6861036,0004J00188000000,1,2346.58
6861037,0004J00200000000,1,465.36
6861038,0004J00202000000,37,3858.94
6861039,0004J00203000000,24,7012.54
6861040,0004J00204000000,2,9.46
6861041,0004J00208000000,1,262.52
6861042,0004J00215000000,2,135.28
6861043,0004J00216000000,2,50.14
6861044,0004J00217000000,2,515.57
6861045,0004J00222000000,18,7834.53
6861046,0004J00249000000,2,1054.79
6861047,0004J00291000000,2,2520.93
6861048,0004J00299000000,2,645.97
6861049,0004K00011000000,3,2206.23
6861050,0004K00051000000,1,266.93
6861051,0004K00059000000,2,459.45
6861052,0004K00062000000,4,3190.73
6861053,0004K00064000000,13,734.23
6861054,0004K00079000000,1,624.25
6861055,0004K00097000000,1,157.11
6861056,0004K00110000000,2,473
6861057,0004K00136000000,1,6.33
6861058,0004K00240000000,2,1751.07
6861059,0004K00241000000,2,258.86
6861060,0004K00242000000,2,283.28
6861061,0004K00251000000,45,12326.62
6861062,0004K00264000000,2,95.2
6861063,0004K00272000000,1,252.58
6861064,0004K00291000000,1,283.33
6861065,0004K00324000000,1,106.42
6861066,0004K00340000000,7,836.96
6861067,0004K00356000000,2,501.92
6861068,0004L00060000000,2,421.92
6861069,0004L00086000000,3,2371.23
6861070,0004L00096000000,6,818.88
6861071,0004L00098000000,4,80.39
6861072,0004L00108000A00,11,790.96
6861073,0004L00109000000,11,4371.16
6861074,0004L00121000000,1,16.88
6861075,0004L00125000000,2,1944.57
6861076,0004L00126000000,6,3359.47
6861077,0004L00130000000,2,129.37
6861078,0004L00168000000,2,62
6861079,0004L00172000000,7,51.78
6861080,0004L00189000000,1,26.35
6861081,0004L00199000000,2,17.52
6861082,0004L00202000000,1,885.46
6861083,0004L00220000000,2,952.67
6861084,0004L00230000000,11,30.38
6861085,0004L00272000000,2,58.31
6861086,0004L00300000000,1,30.02
6861087,0004L00328000000,1,438
6861088,0004M00002000000,1,4.69
6861089,0004M00003000000,1,5.16
6861090,0004M00060000000,1,50.43
6861091,0004M00063000000,2,426.43
6861092,0004M00069000000,2,168.86
6861093,0004M00083000000,2,115.93
6861094,0004M00095000000,2,1284.76
6861095,0004M00149000000,11,31.59
6861096,0004M00152000000,1,1291.29
6861097,0004M00192000000,1,3.9
6861098,0004M00234000000,6,24.9
6861099,0004M00238000000,23,96.88
6861100,0004N00001000000,3,134.82
6861101,0004N00004000000,7,2812.68
6861102,0004N00008000000,4,1429.42
6861103,0004N00021000000,1,4.26
6861104,0004N00024000000,15,5290
6861105,0004N00025000000,2,32.45
6861106,0004N00045000000,3,318.53
6861107,0004N00072000000,4,659.52
6861108,0004N00101000000,3,1910.53
6861109,0004N00106000000,22,8189.94
6861110,0004N00136000000,3,2286.6
6861111,0004N00137000000,16,1911.46
6861112,0004N00140000000,2,409.62
6861113,0004N00157000000,3,134.82
6861114,0004N00163000000,3,65.28
6861115,0004N00169000000,8,2530.16
6861116,0004N00172000000,5,705.05
6861117,0004N00173000001,3,529.29
6861118,0004N00190000000,2,47.6
6861119,0004P00015000000,1,133.39
6861120,0004P00029000000,16,93.16
6861121,0004P00034000000,22,6074.27
6861122,0004P00040000000,36,520.52
6861123,0004P00045000000,17,4667.49
6861124,0004P00048000000,2,425.7
6861125,0004P00056000000,2,244.06
6861126,0004P00060000000,5,5849.87
6861127,0004P00068000000,2,306.5
6861128,0004P00073000000,1,538.95
6861129,0004P00103000000,31,1679.57
6861130,0004P00124000000,1,228.46
6861131,0004P00153000000,1,239.34
6861132,0004P00160000000,2,1130.48
6861133,0004P00167000000,1,82.83
6861134,0004P00175000000,26,5393.04
6861135,0004P00178000000,10,54.83
6861136,0004P00196000000,6,174.59
6861137,0004P00222000000,4,1033.86
6861138,0004P00246000000,1,126.58
6861139,0004P00300000000,7,866.02
6861140,0004P00302000000,1,80.41
6861141,0004P00308000000,3,588.65
6861142,0004P00340000000,13,81.9
6861143,0004R00009000000,15,5031.66
6861144,0004R00012000000,2,553
6861145,0004R00074000000,2,189.2
6861146,0004R00085000000,17,8333.75
6861147,0004R00093000000,1,1280.97
6861148,0004R00101000000,3,818.51
6861149,0004R00109000000,2,490.02
6861150,0004R00114000000,3,1541.16
6861151,0004R00122000000,6,4201.88
6861152,0004R00126000000,3,625.02
6861153,0004R00130000000,14,379.58
6861154,0004R00135000000,27,459.33
6861155,0004R00145000000,5,5.35
6861156,0004R00163000000,2,430.44
6861157,0004R00171000000,5,1554.84
6861158,0004R00183000000,5,551.67
6861159,0004R00194000000,2,853.27
6861160,0004R00214000000,1,316.44
6861161,0004R00215000000,1,296.57
6861162,0004R00221000000,1,51.73
6861163,0004R00242000000,2,1447.66
6861164,0004R00243000A00,1,162.71
6861165,0004R00245000000,2,86.83
6861166,0004R00252000000,4,295.53
6861167,0004R00270000000,10,2571.74
6861168,0004R00280000000,3,1853.42
6861169,0004R00287000000,2,323.32
6861170,0004R00288000000,2,22.98
6861171,0004R00291000000,3,3138.28
6861172,0004R00299000000,12,896.81
6861173,0004R00304000000,2,1605.04
6861174,0004R00313000000,5,3906.03
6861175,0004S00007000000,76,720.75
6861176,0004S00036000000,3,116.26
6861177,0004S00047000000,2,1398.42
6861178,0004S00058000000,2,54.86
6861179,0004S00062000000,1,220.42
6861180,0004S00083000000,2,386.92
6861181,0004S00093000000,28,11300.46
6861182,0004S00104000000,3,582.28
6861183,0004S00105000000,1,290.96
6861184,0004S00109000000,2,317.48
6861185,0004S00113000000,5,1435.9
6861186,0004S00176000000,2,482.46
6861187,0004S00179000000,1,17.05
6861188,0004S00196000000,2,1297.83
6861189,0004S00197000000,1,1.88
6861190,0004S00204000000,12,3129.41
6861191,0004S00213000000,10,4350.04
6861192,0004S00224000000,3,2444.88
6861193,0004S00227000000,2,562.06
6861194,0004S00231000000,3,874.78
6861195,0004S00232000000,3,335.04
6861196,0004S00244000000,2,1114.05
6861197,0004S00262000000,1,3.75
6861198,0004S00281000000,23,2427.08
6861199,0004S00288000000,10,1947.73
6861200,0004S00298000000,2,301
6861201,0004S00306000000,2,205.28
6861202,0004S00329000000,2,127.57
6861203,0005B00025000000,2,151.02
6861204,0005B00032000000,7,27.55
6861205,0005B00057000000,1,8.99
6861206,0005B00070000000,20,137.4
6861207,0005B00072000000,23,208.88
6861208,0005B00082000000,58,302.46
6861209,0005B00096000000,5,76.82
6861210,0005B00128000000,6,6.91
6861211,0005B00130000001,22,52.58
6861212,0005B00138000000,26,38.87
6861213,0005B00180000000,17,75.85
6861214,0005B00181000000,5,2.67
6861215,0005B00199000000,14,40.14
6861216,0005B00218000000,25,172.98
6861217,0005C00019000000,3,2722.8
6861218,0005C00056000000,2,4.73
6861219,0005C00123000000,5,526.62
6861220,0005C00127000000,1,1029.77
6861221,0005C00128000000,4,53.38
6861222,0005C00137000000,2,133.6
6861223,0005C00138000000,5,1355.87
6861224,0005C00153000000,22,27.62
6861225,0005C00160000000,23,90.03
6861226,0005C00163000000,10,1455.44
6861227,0005C00186000000,2,1153.44
6861228,0005C00199000000,8,97762.12
6861229,0005C00208000000,32,4602.19
6861230,0005C00210000000,32,4129.31
6861231,0005C00212000000,31,4070.7
6861232,0005C00221000000,6,3802.96
6861233,0005C00236000000,13,49.88
6861234,0005C00239000000,22,16.84
6861235,0005C00240000000,14,6.18
6861236,0005C00289000000,22,10.76
6861237,0005C00299000000,18,191.69
6861238,0005D00001000000,1,581.79
6861239,0005D00018000000,1,417.19
6861240,0005D00020000000,1,102.6
6861241,0005D00151000000,1,1351.68
6861242,0005D00217000000,5,5.35
6861243,0005F00046000000,74,3514.72
6861244,0005F00052000000,9,62.65
6861245,0005F00072000000,8,24.3
6861246,0005F00160000000,2,66.25
6861247,0005G00001000000,10,8.08
6861248,0005G00011000000,10,4.5
6861249,0005G00026000000,22,10.76
6861250,0005G00095000A00,2,135.32
6861251,0005G00097000000,13,168.86
6861252,0005G00112000000,4,17.46
6861253,0005G00114000000,22,9.3
6861254,0005G00124000000,14,13.44
6861255,0005G00126000000,5,2041.85
6861256,0005G00128000000,24,2588.61
6861257,0005G00146000000,27,21.17
6861258,0005G00161000000,22,18.68
6861259,0005G00170000000,6,39.38
6861260,0005G00211000000,22,9.3
6861261,0005G00229000000,21,40.67
6861262,0005G00241000000,22,45.1
6861263,0005G00242000000,11,4.84
